Species,Shape,Height,Diameter1,Diameter2
Pinus radiata,2,21,0.273,0.268
Pinus radiata,2,12.5,0.241,0.23
Pinus radiata,2,22,0.331,0.313
Pinus radiata,2,16,0.217,0.208
Pinus radiata,2,16.5,0.287,0.284
Pinus radiata,2,15.5,0.207,0.215
Pinus radiata,2,15.5,0.299,0.281
Pinus radiata,2,23.5,0.267,0.273
Pinus radiata,2,19,0.252,0.263
Pinus radiata,2,22.5,0.331,0.357
Pinus radiata,2,20.5,0.363,0.386
Pinus radiata,2,19.5,0.309,0.31
Pinus radiata,2,16,0.241,0.236
Pinus radiata,2,21,0.319,0.309
Pinus radiata,2,19.5,0.298,0.289
Pinus radiata,2,10,0.224,0.24
Pinus radiata,2,19,0.244,0.234
Pinus radiata,2,19.5,0.223,0.224
Pinus radiata,2,24,0.365,0.357
Pinus radiata,2,26,0.412,0.41
Pinus radiata,2,10.5,0.164,0.174
Pinus radiata,2,25,0.252,0.263
Pinus radiata,2,12,0.154,0.151
Pinus radiata,2,19,0.201,0.193
Pinus radiata,2,23.5,0.425,0.436
Pinus radiata,2,21.5,0.259,0.263
Pinus radiata,2,23,0.305,0.295
Castanea sativa,2,13,0.203,0.221
Pinus radiata,2,25.5,0.305,0.307
Castanea sativa,2,13,0.202,0.201
Castanea sativa,2,13,0.154,0.144
Pinus radiata,2,24.5,0.357,0.373
Pinus radiata,2,20,0.184,0.177
Pinus radiata,2,19,0.166,0.155
Pinus radiata,2,25.5,0.467,0.437
Pinus radiata,2,19,0.202,0.208
Pinus radiata,2,21,0.227,0.219
Pinus radiata,2,25,0.236,0.234
Pinus radiata,2,20.5,0.203,0.201
Pinus radiata,2,18.5,0.201,0.202
Pinus radiata,2,20.5,0.235,0.226
Pinus radiata,2,30.5,0.332,0.33
Pinus radiata,2,22.5,0.199,0.198
Pinus radiata,3,8,0.148,0.124
Pinus radiata,2,26,0.326,0.331
Pinus radiata,2,23,0.256,0.251
Pinus radiata,2,25,0.254,0.258
Pinus radiata,2,26.5,0.365,0.349
Pinus radiata,2,30,0.591,0.582
Pinus radiata,2,29,0.367,0.377
Pinus radiata,2,32,0.468,0.5
Pinus radiata,2,29.5,0.474,0.442
Pinus radiata,2,32,0.426,0.444
Pinus radiata,2,32.5,0.487,0.496
Pinus radiata,2,30,0.455,0.421
Pinus radiata,2,29,0.419,0.402
Pinus radiata,2,30.5,0.502,0.46
Pinus radiata,2,27.5,0.574,0.597
Pinus radiata,2,28.5,0.534,0.501
Pinus radiata,2,28,0.501,0.501
Pinus radiata,2,30,0.732,0.732
Pinus radiata,2,30.5,0.512,0.545
Pinus radiata,1,31.5,0.465,0.512
Pinus radiata,2,32,0.489,0.496
Pinus radiata,2,30.5,0.446,0.451
Pinus radiata,2,34.5,0.527,0.549
Pinus radiata,2,29,0.446,0.405
Pinus radiata,2,32,0.478,0.471
Pinus radiata,2,32,0.43,0.407
Pinus radiata,2,35.5,0.502,0.518
Pinus radiata,2,31.5,0.482,0.447
Pinus radiata,2,30.5,0.484,0.447
Pinus radiata,2,33.5,0.623,0.652
Eucalyptus globulus,2,16.5,0.156,0.163
Eucalyptus globulus,2,21,0.256,0.275
Eucalyptus globulus,2,21,0.261,0.277
Eucalyptus globulus,2,18,0.171,0.17
Eucalyptus globulus,2,19,0.19,0.219
Eucalyptus globulus,2,22.5,0.249,0.258
Eucalyptus globulus,2,18,0.192,0.199
Eucalyptus globulus,2,19,0.292,0.303
Eucalyptus globulus,2,19,0.288,0.283
Pinus radiata,2,21,0.274,0.276
Pinus radiata,2,17.5,0.128,0.131
Pinus radiata,3,8.5,0.092,0.091
Pinus radiata,2,11.5,0.116,0.121
Pinus radiata,2,18,0.248,0.247
Pinus radiata,2,13,0.139,0.161
Pinus radiata,2,16.5,0.169,0.145
Pinus radiata,2,17,0.183,0.167
Pinus radiata,2,18.5,0.236,0.235
Pinus radiata,2,19.5,0.218,0.219
Pinus radiata,2,21,0.252,0.248
Pinus radiata,2,16,0.18,0.182
Pinus radiata,2,12,0.181,0.189
Pinus radiata,2,20,0.243,0.254
Pinus radiata,2,13.5,0.168,0.174
Pinus radiata,2,10.5,0.156,0.154
Pinus radiata,2,9.5,0.125,0.126
Pinus radiata,2,15,0.147,0.152
Pinus radiata,2,18.5,0.263,0.271
Pinus radiata,2,22.5,0.273,0.271
Pinus radiata,2,13,0.164,0.172
Pinus radiata,2,15.5,0.223,0.222
Pinus radiata,2,15.5,0.235,0.246
Pinus radiata,2,13,0.179,0.18
Pinus radiata,2,15,0.276,0.267
Pinus radiata,2,16.5,0.318,0.31
Pinus radiata,2,13,0.183,0.184
Pinus radiata,2,17,0.207,0.196
Pinus radiata,2,16.5,0.224,0.209
Pinus radiata,2,15,0.242,0.228
Pinus radiata,2,16.5,0.181,0.17
Pinus radiata,2,14.5,0.251,0.254
Pinus radiata,2,16,0.203,0.204
Pinus radiata,2,14,0.263,0.232
Pinus radiata,2,18,0.31,0.281
Pinus radiata,2,13,0.18,0.162
Pinus radiata,2,16.5,0.346,0.33
Pinus radiata,2,15.5,0.261,0.262
Pinus radiata,2,11.5,0.145,0.142
Pinus radiata,2,16,0.253,0.252
Pinus radiata,2,12,0.13,0.126
Pinus radiata,5,7.5,0.171,0.17
Pinus radiata,2,12,0.23,0.243
Pinus radiata,2,5.5,0.173,0.175
Pinus radiata,2,14,0.148,0.158
Pinus radiata,3,9,0.083,0.085
Pinus radiata,2,17.5,0.248,0.247
Pinus radiata,2,13.5,0.193,0.194
Pinus radiata,2,15,0.151,0.167
Pinus radiata,3,10,0.08,0.082
Pinus radiata,2,14.5,0.196,0.199
Pinus radiata,2,10.5,0.092,0.091
Pinus radiata,2,17,0.206,0.201
Pinus radiata,3,8,0.098,0.095
Pinus radiata,2,8.5,0.138,0.142
Pinus radiata,3,5,0.081,0.079
Pinus radiata,3,9,0.104,0.105
Pinus radiata,2,14.5,0.352,0.383
Pinus radiata,2,12,0.134,0.142
Pinus radiata,3,7.5,0.105,0.106
Pinus radiata,2,13.5,0.137,0.146
Pinus radiata,3,8,0.108,0.107
Pinus radiata,2,10,0.114,0.11
Pinus radiata,3,8,0.099,0.091
Pinus radiata,2,9.5,0.113,0.11
Pinus radiata,2,29.5,0.447,0.426
Pinus radiata,2,27.5,0.328,0.337
Pinus radiata,1,32.5,0.458,0.469
Pinus radiata,1,29.5,0.354,0.379
Pinus radiata,1,27.5,0.357,0.367
Pinus radiata,2,29.5,0.344,0.337
Pinus radiata,1,33,0.461,0.458
Pinus radiata,1,26,0.316,0.324
Pinus radiata,1,31,0.384,0.378
Pinus radiata,2,30,0.39,0.376
Pinus radiata,2,23.5,0.307,0.323
Pinus radiata,1,30.5,0.435,0.49
Pinus radiata,2,33,0.401,0.418
Pinus radiata,1,30,0.46,0.489
Pinus radiata,1,31,0.363,0.368
Pinus radiata,1,30,0.348,0.344
Pinus radiata,2,25.5,0.356,0.34
Pinus radiata,2,15.5,0.202,0.202
Pinus radiata,2,23,0.359,0.379
Pinus radiata,2,26,0.27,0.285
Pinus radiata,2,24,0.266,0.275
Pinus radiata,2,19,0.274,0.285
Pinus radiata,2,20,0.253,0.258
Pinus radiata,2,22,0.279,0.293
Pinus radiata,2,21.5,0.241,0.252
Pinus radiata,2,24,0.302,0.303
Pinus radiata,2,21,0.284,0.282
Pinus radiata,2,19.5,0.252,0.246
Pinus radiata,2,21,0.349,0.362
Pinus radiata,2,21,0.284,0.295
Pinus radiata,2,26,0.274,0.264
Pinus radiata,2,14.5,0.223,0.231
Pinus radiata,2,24,0.257,0.26
Pinus radiata,2,22.5,0.271,0.271
Pinus radiata,2,21,0.293,0.307
Pinus radiata,2,23,0.374,0.374
Pinus radiata,2,22.5,0.274,0.295
Pinus radiata,2,27,0.331,0.333
Pinus radiata,2,24.5,0.316,0.311
Pinus radiata,2,25,0.282,0.284
Pinus radiata,2,22,0.286,0.283
Pinus radiata,2,24.5,0.307,0.313
Pinus radiata,2,20,0.346,0.329
Pinus radiata,2,19,0.22,0.206
Pinus radiata,2,23.5,0.278,0.271
Pinus radiata,2,20.5,0.306,0.292
Pinus radiata,2,20,0.276,0.278
Pinus radiata,2,16.5,0.166,0.166
Pinus radiata,2,22.5,0.482,0.491
Pinus radiata,2,20,0.441,0.448
Pinus radiata,2,20,0.403,0.407
Pinus radiata,2,21,0.413,0.417
Pinus radiata,2,21,0.406,0.396
Pinus radiata,2,17,0.421,0.4
Pinus radiata,2,20.5,0.351,0.352
Pinus radiata,2,18,0.325,0.288
Pinus radiata,2,24.5,0.451,0.457
Pinus radiata,2,23,0.461,0.477
Pinus radiata,2,21,0.46,0.43
Pinus radiata,2,23.5,0.37,0.369
Pinus radiata,2,16.5,0.356,0.376
Pinus radiata,2,16,0.342,0.335
Pinus radiata,2,18.5,0.352,0.389
Pinus radiata,2,22,0.331,0.308
Pinus radiata,2,16.5,0.324,0.332
Pinus radiata,2,19.5,0.33,0.321
Pinus radiata,2,17.5,0.37,0.365
Pinus radiata,2,17,0.369,0.38
Pinus radiata,2,13.5,0.279,0.299
Pinus radiata,2,15,0.301,0.286
Pinus radiata,2,22,0.532,0.554
Pinus radiata,2,20.5,0.247,0.251
Pinus radiata,2,25,0.426,0.439
Pinus radiata,2,29,0.473,0.476
Pinus radiata,2,26,0.359,0.381
Pinus radiata,2,21,0.215,0.216
Pinus radiata,2,26.5,0.308,0.307
Pinus radiata,2,24.5,0.365,0.339
Pinus radiata,2,26,0.416,0.391
Pinus radiata,2,24.5,0.309,0.302
Pinus radiata,2,25,0.381,0.372
Pinus radiata,2,25,0.379,0.349
Pinus radiata,2,16,0.357,0.348
Pinus radiata,2,27,0.387,0.387
Pinus radiata,2,24,0.272,0.302
Pinus radiata,2,28,0.36,0.385
Pinus radiata,2,25,0.317,0.315
Pinus radiata,2,26.5,0.372,0.384
Pinus radiata,2,22.5,0.271,0.28
Pinus radiata,2,22.5,0.371,0.362
Pinus radiata,2,22.5,0.282,0.272
Pinus radiata,2,23.5,0.32,0.296
Pinus radiata,2,21,0.306,0.204
Pinus radiata,2,26.5,0.416,0.36
Pinus radiata,2,25.5,0.381,0.402
Pinus radiata,2,24,0.317,0.286
Pinus radiata,2,24,0.284,0.265
Pinus radiata,2,23.5,0.299,0.307
Pinus radiata,2,23,0.272,0.284
Pinus radiata,2,24.5,0.314,0.304
Pinus radiata,2,25.5,0.283,0.268
Pinus radiata,2,22,0.232,0.227
Pinus radiata,2,24.5,0.259,0.248
Castanea sativa,3,7,0.075,0.076
Pinus radiata,2,24,0.233,0.239
Pinus radiata,2,23.5,0.316,0.307
Castanea sativa,3,16.5,0.125,0.134
Pinus radiata,2,21,0.217,0.219
Pinus radiata,2,23,0.224,0.234
Pinus radiata,2,17.5,0.247,0.255
Pinus radiata,2,21.5,0.2,0.203
Pinus radiata,2,23.5,0.219,0.215
Pinus radiata,2,23.5,0.258,0.278
Pinus radiata,2,18,0.212,0.201
Pinus radiata,2,21.5,0.279,0.257
Pinus radiata,2,22,0.269,0.252
Pinus radiata,2,24.5,0.304,0.281
Pinus radiata,2,25.5,0.28,0.277
Pinus radiata,2,21.5,0.229,0.237
Pinus radiata,2,24,0.308,0.319
Pinus radiata,2,25,0.504,0.486
Pinus radiata,2,25.5,0.417,0.411
Pinus radiata,2,29.5,0.547,0.55
Pinus radiata,2,26.5,0.529,0.504
Pinus radiata,2,27,0.465,0.433
Pinus radiata,2,23.5,0.496,0.481
Pinus radiata,2,26,0.463,0.471
Pinus radiata,2,26,0.469,0.447
Pinus radiata,2,24,0.396,0.376
Pinus radiata,2,29.5,0.467,0.446
Pinus radiata,2,27,0.425,0.399
Pinus radiata,2,26.5,0.49,0.507
Pinus radiata,2,25,0.534,0.53
Pinus radiata,2,27,0.406,0.392
Pinus radiata,2,26.5,0.434,0.432
Pinus radiata,2,28.5,0.502,0.501
Pinus radiata,2,25,0.444,0.45
Pinus radiata,2,26,0.333,0.318
Pinus radiata,2,30.5,0.467,0.465
Pinus radiata,2,22,0.349,0.352
Pinus radiata,2,30.5,0.472,0.431
Pinus radiata,2,28.5,0.616,0.601
Pinus radiata,2,24,0.387,0.381
Pinus radiata,2,29,0.513,0.486
Pinus radiata,2,31.5,0.47,0.55
Pinus radiata,2,26.5,0.404,0.392
Pinus radiata,2,33,0.573,0.592
Pinus radiata,2,25.5,0.474,0.475
Pinus radiata,2,27,0.322,0.324
Pinus radiata,2,24.5,0.466,0.454
Pinus radiata,2,30,0.481,0.497
Pinus radiata,2,24,0.357,0.365
Pinus radiata,2,25,0.464,0.452
Pinus radiata,2,21.5,0.397,0.456
Pinus radiata,2,34,0.426,0.459
Pinus radiata,2,33,0.534,0.563
Pinus radiata,2,34.5,0.541,0.556
Pinus radiata,2,31.5,0.511,0.509
Pinus radiata,2,30,0.638,0.639
Pinus radiata,2,25.5,0.448,0.417
Pinus radiata,2,26.5,0.485,0.484
Pinus radiata,2,27,0.537,0.484
Pinus radiata,1,35,0.466,0.436
Pinus radiata,2,23,0.492,0.467
Pinus radiata,2,32,0.517,0.521
Pinus radiata,1,30,0.533,0.523
Pinus radiata,2,37.5,0.596,0.645
Pinus radiata,2,32,0.436,0.441
Pinus radiata,1,31,0.303,0.397
Pinus radiata,2,36.5,0.535,0.525
Pinus radiata,1,24,0.384,0.361
Pinus radiata,2,27.5,0.424,0.416
Pinus radiata,2,33.5,0.447,0.447
Pinus radiata,2,33,0.456,0.464
Pinus radiata,2,30,0.402,0.377
Pinus radiata,2,39,0.494,0.497
Pinus radiata,2,48,0.653,0.653
Pinus radiata,2,40.5,0.557,0.553
Pinus radiata,2,38.5,0.585,0.568
Pinus radiata,2,37.5,0.543,0.562
Pinus radiata,2,33.5,0.497,0.509
Pinus radiata,2,39,0.559,0.582
Pinus radiata,2,37,0.533,0.572
Pinus radiata,2,42.5,0.522,0.587
Pinus radiata,2,36.5,0.545,0.566
Pinus radiata,2,41,0.526,0.546
Castanea sativa,2,13,0.177,0.187
Pinus radiata,2,43,0.651,0.645
Pinus radiata,2,37,0.479,0.48
Pinus radiata,2,40,0.541,0.536
Pinus radiata,2,41,0.494,0.479
Pinus radiata,2,42.5,0.484,0.473
Pinus radiata,2,54,0.684,0.684
Pinus radiata,2,44,0.485,0.525
Pinus radiata,2,43,0.681,0.681
Pinus radiata,2,47,0.653,0.653
Pinus radiata,2,44,0.639,0.639
Pinus radiata,2,40.5,0.596,0.587
Pinus radiata,2,33,0.485,0.487
Pinus radiata,2,36.5,0.637,0.637
Pinus radiata,2,35,0.456,0.489
Pinus radiata,2,38,0.572,0.555
Pinus radiata,2,33,0.496,0.473
Pinus radiata,2,40.5,0.507,0.493
Pinus radiata,2,48,0.594,0.545
Pinus radiata,2,43,0.555,0.517
Pinus radiata,2,44.5,0.527,0.495
Pinus radiata,2,19,0.222,0.24
Pinus radiata,2,20,0.246,0.236
Pinus radiata,3,10.5,0.084,0.083
Pinus radiata,2,19,0.222,0.249
Pinus radiata,2,19,0.184,0.184
Pinus radiata,2,22.5,0.227,0.237
Pinus radiata,2,15.5,0.114,0.12
Pinus radiata,2,19,0.158,0.169
Pinus radiata,2,20,0.251,0.258
Pinus radiata,2,20,0.216,0.219
Pinus radiata,2,18,0.144,0.15
Pinus radiata,2,17.5,0.16,0.16
Pinus radiata,2,15,0.158,0.16
Pinus radiata,2,16,0.171,0.171
Pinus radiata,2,16,0.168,0.167
Pinus radiata,2,18,0.164,0.168
Pinus radiata,2,17.5,0.164,0.167
Pinus radiata,2,17,0.185,0.187
Pinus radiata,2,17.5,0.192,0.189
Pinus radiata,2,21,0.281,0.293
Quercus faginea,4,10.5,0.27,0.254
Quercus faginea,4,12.5,0.25,0.25
Quercus faginea,2,9.5,0.187,0.177
Quercus robur,2,12,0.184,0.205
Quercus robur,2,9,0.19,0.194
Castanea sativa,6,9.5,1.261,1.261
Quercus faginea,2,11.5,0.175,0.186
Quercus faginea,2,13.5,0.166,0.19
Quercus faginea,2,16,0.254,0.273
Quercus faginea,2,11,0.19,0.199
Quercus faginea,2,13,0.25,0.269
Quercus faginea,2,8,0.144,0.14
Quercus faginea,4,9.5,0.198,0.199
Quercus faginea,2,10,0.185,0.176
Quercus faginea,3,8.5,0.162,0.125
Quercus faginea,3,7.5,0.19,0.192
Quercus faginea,2,9.5,0.208,0.239
Quercus faginea,2,9,0.189,0.191
Pinus radiata,2,16,0.194,0.195
Pinus radiata,2,15,0.157,0.158
Pinus radiata,2,15.5,0.163,0.161
Pinus radiata,2,17.5,0.149,0.145
Pinus radiata,2,18,0.163,0.165
Pinus radiata,2,17.5,0.154,0.159
Pinus radiata,2,16,0.181,0.186
Pinus radiata,2,22,0.267,0.269
Pinus radiata,2,20,0.207,0.213
Pinus radiata,2,16,0.159,0.156
Pinus radiata,2,17.5,0.252,0.247
Pinus radiata,2,19,0.2,0.203
Pinus radiata,2,14,0.127,0.129
Pinus radiata,3,12.5,0.108,0.103
Pinus radiata,2,13.5,0.132,0.13
Pinus radiata,2,13,0.14,0.138
Pinus radiata,2,13,0.135,0.134
Pinus radiata,2,12.5,0.123,0.132
Pinus radiata,2,12,0.135,0.137
Pinus radiata,3,4.5,0.076,0.075
Pinus radiata,2,27.5,0.369,0.361
Pinus radiata,2,31,0.427,0.418
Pinus radiata,2,32,0.484,0.479
Pinus radiata,2,28.5,0.38,0.372
Pinus radiata,2,25.5,0.265,0.302
Pinus radiata,2,28,0.377,0.392
Pinus radiata,2,35,0.622,0.631
Pinus radiata,2,23,0.255,0.24
Pinus radiata,2,31.5,0.42,0.389
Pinus radiata,2,31.5,0.516,0.484
Pinus radiata,2,24.5,0.237,0.227
Pinus radiata,2,26,0.331,0.32
Pinus radiata,2,25.5,0.325,0.335
Pinus radiata,2,28,0.417,0.434
Pinus radiata,2,23,0.258,0.263
Pinus radiata,2,21,0.266,0.261
Pinus radiata,2,31,0.377,0.428
Pinus radiata,2,19.5,0.234,0.243
Pinus radiata,2,21.5,0.273,0.285
Pinus radiata,2,22,0.275,0.285
Pinus radiata,2,28.5,0.41,0.423
Pinus radiata,2,25.5,0.356,0.353
Pinus radiata,2,22.5,0.232,0.249
Pinus radiata,2,20,0.248,0.229
Pinus radiata,2,23,0.263,0.259
Pinus radiata,2,23.5,0.334,0.313
Pinus radiata,2,21.5,0.242,0.24
Pinus radiata,2,27.5,0.485,0.475
Pinus radiata,2,26.5,0.308,0.328
Pinus radiata,2,26.5,0.368,0.391
Pinus radiata,2,28.5,0.455,0.418
Pinus radiata,2,21,0.268,0.274
Pinus radiata,2,21,0.351,0.361
Pinus radiata,2,27.5,0.307,0.333
Pinus radiata,2,22,0.254,0.273
Pinus radiata,2,24,0.315,0.323
Pinus radiata,2,20.5,0.27,0.255
Pinus radiata,2,19.5,0.37,0.396
Pinus radiata,5,7.5,0.135,0.151
Pinus radiata,2,18.5,0.492,0.486
Pinus radiata,2,21.5,0.389,0.406
Pinus radiata,2,18.5,0.446,0.462
Pinus radiata,2,21,0.41,0.449
Pinus radiata,2,22,0.441,0.447
Pinus radiata,2,24,0.444,0.467
Pinus radiata,2,21,0.425,0.403
Pinus radiata,2,21.5,0.367,0.366
Pinus radiata,2,22,0.393,0.384
Pinus radiata,2,26.5,0.441,0.421
Pinus radiata,2,23,0.442,0.411
Pinus radiata,2,22.5,0.394,0.418
Pinus radiata,2,21.5,0.367,0.4
Pinus radiata,2,24,0.399,0.42
Pinus radiata,2,15,0.306,0.302
Pinus radiata,2,19.5,0.429,0.438
Pinus radiata,2,17.5,0.369,0.367
Pinus radiata,2,19,0.557,0.521
Pinus radiata,2,37,0.538,0.548
Pinus radiata,2,36,0.691,0.691
Pinus radiata,2,31.5,0.571,0.586
Pinus radiata,2,14,0.331,0.342
Pinus radiata,2,24,0.533,0.506
Pinus radiata,2,31,0.478,0.507
Pinus radiata,2,29,0.381,0.31
Pinus radiata,2,27,0.371,0.352
Pinus radiata,2,28.5,0.445,0.464
Pinus radiata,2,31.5,0.538,0.534
Pinus radiata,2,30.5,0.358,0.352
Pinus radiata,2,30,0.474,0.487
Pinus radiata,2,23.5,0.289,0.274
Pinus radiata,2,28.5,0.522,0.508
Pinus radiata,2,30,0.424,0.422
Pinus radiata,2,33,0.465,0.472
Pinus radiata,2,24,0.353,0.39
Pinus radiata,2,33.5,0.503,0.493
Pinus radiata,2,33.5,0.47,0.495
Pinus radiata,2,24.5,0.315,0.346
Pinus radiata,2,33,0.467,0.46
Pinus radiata,2,29,0.413,0.423
Pinus radiata,2,29.5,0.379,0.37
Pinus radiata,1,27,0.311,0.283
Pinus radiata,2,29.5,0.437,0.428
Pinus radiata,2,25.5,0.325,0.322
Pinus radiata,2,27.5,0.332,0.331
Pinus radiata,2,30.5,0.423,0.419
Pinus radiata,2,28,0.329,0.314
Pinus radiata,2,32,0.497,0.489
Pinus radiata,2,27,0.321,0.325
Pinus radiata,2,32,0.393,0.409
Pinus sylvestris,5,3.5,0.234,0.242
Pinus sylvestris,2,10.5,0.334,0.31
Pinus sylvestris,2,8,0.138,0.191
Pinus sylvestris,2,14,0.286,0.474
Pinus sylvestris,2,8,0.311,0.282
Quercus robur,5,6.5,0.133,0.145
Quercus faginea,5,4.5,0.188,0.193
Quercus robur,3,5,0.08,0.093
Pinus sylvestris,2,14.5,0.314,0.299
Pinus radiata,2,33.5,0.586,0.542
Quercus robur,2,15,0.174,0.193
Pinus radiata,2,27,0.32,0.41
Castanea sativa,2,14.5,0.148,0.13
Castanea sativa,2,16.5,0.205,0.194
Pinus radiata,2,21.5,0.241,0.246
Pinus radiata,2,32,0.431,0.471
Quercus robur,3,14,0.147,0.182
Quercus robur,2,10.5,0.183,0.16
Pinus radiata,5,25,0.345,0.343
Pinus radiata,2,24,0.319,0.289
Pinus radiata,2,30,0.473,0.49
Salix spp.,4,10.5,0.175,0.16
Quercus robur,4,7,0.203,0.213
Pinus radiata,2,13,0.128,0.123
Pinus radiata,2,12,0.147,0.148
Pinus radiata,3,11,0.091,0.091
Pinus radiata,2,16,0.194,0.196
Pinus radiata,2,16,0.177,0.173
Pinus radiata,2,17,0.224,0.229
Pinus radiata,3,12,0.113,0.119
Pinus radiata,2,18,0.208,0.207
Pinus radiata,2,15,0.163,0.164
Pinus radiata,2,19,0.245,0.251
Pinus radiata,2,15,0.146,0.134
Pinus radiata,2,13,0.152,0.148
Pinus radiata,2,16,0.236,0.233
Pinus radiata,2,13,0.146,0.142
Pinus radiata,2,17,0.254,0.255
Pinus radiata,2,15,0.187,0.177
Pinus radiata,2,16,0.236,0.221
Pinus radiata,2,13,0.158,0.157
Pinus radiata,3,5.5,0.092,0.089
Pinus radiata,2,14.5,0.228,0.227
Pinus radiata,2,16,0.213,0.205
Pinus radiata,2,14.5,0.154,0.152
Pinus radiata,2,13.5,0.178,0.173
Pinus radiata,2,12.5,0.197,0.196
Pinus radiata,2,14.5,0.189,0.188
Pinus radiata,2,16.5,0.274,0.258
Pinus radiata,2,15.5,0.224,0.229
Pinus radiata,2,14.5,0.172,0.179
Pinus radiata,2,16,0.185,0.189
Pinus radiata,2,14.5,0.209,0.209
Pinus radiata,2,11,0.13,0.128
Pinus radiata,2,14,0.203,0.197
Pinus radiata,2,16,0.241,0.242
Pinus radiata,2,13.5,0.196,0.203
Pinus radiata,2,13.5,0.163,0.166
Pinus radiata,2,14,0.163,0.165
Pinus radiata,2,14,0.209,0.201
Pinus radiata,2,15,0.193,0.181
Pinus radiata,2,15,0.214,0.204
Pinus radiata,2,14,0.143,0.141
Pinus radiata,2,14,0.136,0.146
Pinus radiata,2,13,0.114,0.116
Pinus radiata,2,20.5,0.226,0.241
Pinus radiata,2,25,0.291,0.292
Pinus radiata,2,25.5,0.282,0.29
Pinus radiata,2,24,0.328,0.318
Pinus radiata,2,21,0.292,0.267
Pinus radiata,2,22,0.393,0.393
Pinus radiata,2,26.5,0.367,0.374
Pinus radiata,2,24,0.324,0.324
Pinus radiata,2,22,0.238,0.242
Pinus radiata,2,22.5,0.323,0.321
Pinus radiata,2,19.5,0.174,0.174
Pinus radiata,2,23,0.283,0.287
Pinus radiata,2,22.5,0.285,0.275
Pinus radiata,2,19,0.172,0.185
Pinus radiata,2,27,0.312,0.301
Pinus radiata,2,26,0.33,0.33
Pinus radiata,2,24,0.301,0.31
Pinus radiata,2,24,0.273,0.28
Pinus radiata,2,27,0.336,0.335
Pinus radiata,2,24,0.271,0.264
Pinus radiata,2,21,0.255,0.25
Pinus radiata,2,19,0.225,0.22
Pinus radiata,2,24.5,0.261,0.251
Pinus radiata,2,25.5,0.318,0.336
Pinus radiata,2,26,0.288,0.291
Pinus radiata,2,26,0.326,0.329
Pinus radiata,2,26.5,0.325,0.319
Pinus radiata,2,24.5,0.33,0.321
Pinus radiata,2,25,0.227,0.236
Pinus radiata,2,22.5,0.251,0.241
Pinus radiata,2,24,0.305,0.307
Pinus radiata,2,23,0.272,0.274
Pinus radiata,2,21,0.225,0.232
Pinus radiata,2,24,0.362,0.364
Pinus radiata,2,19.5,0.208,0.204
Pinus radiata,2,11,0.145,0.148
Pinus radiata,2,11,0.181,0.188
Pinus radiata,2,14.5,0.196,0.207
Pinus radiata,2,9.5,0.168,0.175
Pinus radiata,2,12.5,0.191,0.198
Pinus radiata,2,11,0.157,0.155
Pinus radiata,2,10.5,0.135,0.133
Pinus radiata,2,12,0.153,0.148
Pinus radiata,2,11,0.145,0.136
Pinus radiata,3,13,0.117,0.112
Pinus radiata,2,12.5,0.124,0.125
Pinus radiata,2,11,0.24,0.249
Pinus radiata,2,12.5,0.154,0.159
Pinus radiata,2,14,0.182,0.189
Pinus radiata,2,12.5,0.147,0.137
Pinus radiata,2,12.5,0.14,0.14
Pinus radiata,3,8.5,0.08,0.078
Pinus radiata,2,13.5,0.23,0.202
Pinus radiata,3,8.5,0.082,0.082
Pinus radiata,5,4.5,0.101,0.102
Pinus radiata,3,7.5,0.135,0.135
Pinus radiata,3,8,0.121,0.119
Castanea sativa,6,10.5,1.248,1.248
Pinus radiata,5,4.5,0.103,0.118
Pinus radiata,5,4,0.103,0.106
Pinus radiata,3,6.5,0.1,0.099
Pinus radiata,3,6,0.132,0.129
Pinus radiata,3,6,0.092,0.092
Pinus radiata,3,5,0.087,0.089
Pinus radiata,3,5.5,0.087,0.085
Pinus radiata,3,6,0.079,0.08
Pinus radiata,3,5,0.08,0.084
Pinus radiata,2,15,0.179,0.175
Pinus radiata,2,21.5,0.366,0.387
Pinus radiata,2,28.5,0.527,0.615
Pinus radiata,2,10,0.211,0.243
Pinus radiata,2,25.5,0.332,0.343
Quercus robur,2,10.5,0.147,0.129
Pinus radiata,2,29,0.355,0.327
Pinus radiata,2,16.5,0.261,0.277
Pinus radiata,2,10,0.177,0.176
Pinus radiata,2,23,0.281,0.296
Pinus radiata,2,20,0.223,0.232
Pinus radiata,2,18,0.32,0.315
Pinus radiata,2,27,0.451,0.459
Pinus radiata,2,12,0.232,0.213
Pinus radiata,2,22,0.197,0.2
Pinus radiata,2,16.5,0.197,0.194
Pinus radiata,2,11,0.289,0.284
Pinus radiata,2,23,0.343,0.323
Pinus radiata,2,8,0.112,0.118
Pinus radiata,2,22.5,0.299,0.289
Pinus radiata,2,16.5,0.166,0.182
Pinus radiata,2,27,0.39,0.357
Pinus radiata,2,25,0.365,0.357
Pinus radiata,1,30,0.417,0.438
Pinus radiata,2,17.5,0.211,0.209
Pinus radiata,2,21.5,0.426,0.441
Pinus radiata,2,24,0.445,0.481
Pinus radiata,2,23.5,0.405,0.396
Pinus radiata,2,24,0.291,0.284
Pinus radiata,2,20.5,0.304,0.285
Pinus radiata,2,28.5,0.511,0.492
Pinus radiata,2,21.5,0.271,0.27
Pinus radiata,2,13,0.301,0.248
Quercus faginea,5,4,0.09,0.118
Quercus faginea,5,3.5,0.114,0.111
